lat,long,name
35.729234,139.710388,Ikebukuro
35.663433,139.873466,Kasai
35.658552,139.701977,Shibuya
35.785234,139.900761,Matsudo
35.712232,139.775791,Ueno
35.686163,139.730129,Yotsuya
35.681004,139.766006,Tokyo Station
35.701499,139.985218,Funabashi
35.662666,139.73176,Roppongi
35.728398,139.908142,Ichikawa
35.690485,139.699574,Shinjuku
35.746094,139.720173,Itabashi
34.679523,138.944778,Izu-kyuu Shimoda
36.555982,139.883423,Utsunomiya
37.402892,140.355835,Kouriyama
36.93233,138.815002,Yuzawa
36.644182,138.197021,Nagano
35.713347,139.762316,UoT Hongo
36.312912,140.576935,Ooarai
35.187558,140.351372,Onjuku
35.465284,139.621639,Yokohama
35.816978,139.669533,Saitama toda
35.318487,139.550056,Kamakura
35.905737,139.623184,Oomiya
